iter	Passed	Remaining
0	1	166
1	2	138
2	4	160
3	6	149
4	7	141
5	8	136
6	9	132
7	10	124
8	11	117
9	12	111
10	13	110
11	14	109
12	15	106
13	17	105
14	18	106
15	20	106
16	21	106
17	22	104
18	23	101
19	24	99
20	25	97
21	26	95
22	28	95
23	30	95
24	32	98
25	34	97
26	35	96
27	36	94
28	37	92
29	38	90
30	39	88
31	40	86
32	41	84
33	42	83
34	44	81
35	45	80
36	46	79
37	48	78
38	49	77
39	50	76
40	52	74
41	52	72
42	53	70
43	54	68
44	54	67
45	55	65
46	57	64
47	58	63
48	60	62
49	62	62
50	63	61
51	65	60
52	65	58
53	66	56
54	67	55
55	68	53
56	68	52
57	69	50
58	71	49
59	72	48
60	74	47
61	75	46
62	76	44
63	77	43
64	78	42
65	79	41
66	80	39
67	81	38
68	82	36
69	83	35
70	83	34
71	84	32
72	86	31
73	87	30
74	89	29
75	91	28
76	92	27
77	93	26
78	94	25
79	95	23
80	96	22
81	96	21
82	97	19
83	98	18
84	99	17
85	100	16
86	101	15
87	102	14
88	104	12
89	105	11
90	106	10
91	107	9
92	108	8
93	109	6
94	110	5
95	110	4
96	112	3
97	112	2
98	113	1
99	115	0
